"last_name, first_name","player_id","year","player_age","pa","double","home_run","k_percent","bb_percent","xwoba","exit_velocity_avg","out_zone_swing_miss","pull_percent","opposite_percent","groundballs_percent"
"Meadows, Parker",678009,2024,24,298,12,9,25.5,8.4,".298","87",85,36.2,21.9,33.2
"Vargas, Miguel",678246,2024,24,237,7,5,24.1,10.5,".260","86.2",28,42.1,25,32.2
"Mead, Curtis",678554,2024,23,132,3,1,22.7,4.5,".280","88.8",31,37.6,34.4,35.5
"Tovar, Ezequiel",678662,2024,22,695,45,26,28.8,3.3,".289","88.8",310,36.4,27.2,34.5
"Noel, Jhonkensy",678877,2024,22,198,7,13,31.8,6.6,".323","88.6",94,52.1,19.7,35
"Rafaela, Ceddanne",678882,2024,23,571,23,15,26.4,2.6,".273","86.6",232,37.2,26.1,42.5
"Rojas, Johan",679032,2024,23,363,12,3,19,3.6,".250","85.7",82,35.7,22.7,59.2
"Torkelson, Spencer",679529,2024,24,381,21,10,27.6,8.7,".283","89",95,47.1,21,34.5
"Loftin, Nick",679845,2024,25,171,4,1,14,11.1,".283","83.6",29,38.6,18.9,46.5
"Blanco, Dairon",680118,2024,31,132,4,4,24.2,6.1,".279","89",35,31.1,21.1,52.2
"Schuemann, Max",680474,2024,27,459,14,7,25.9,10.2,".296","89",97,35,27.6,37.4
"Palacios, Richie",680700,2024,27,316,8,5,21.2,14.2,".325","86.2",67,47,18.7,37.9
"Barger, Addison",680718,2024,24,225,11,7,26.7,6.2,".291","88.3",59,37.6,28.9,43
"Kwan, Steven",680757,2024,26,540,16,14,9.4,9.8,".333","86.3",41,30.4,32,37.4
"Duran, Jarren",680776,2024,27,735,48,21,21.8,7.3,".342","90.8",187,29.9,30.1,46.8
"Jeffers, Ryan",680777,2024,27,465,22,21,20.2,6.9,".304","86.9",119,37.2,24.9,39.1
"Davis, Henry",680779,2024,24,122,4,1,36.9,10.7,".226","85.3",37,45.2,24.2,40.3
"Gelof, Zack",680869,2024,24,547,20,17,34.4,6.9,".271","89.2",186,41.6,20.5,43.5
"Donovan, Brendan",680977,2024,27,652,34,14,12.4,7.2,".335","88.7",96,35.4,28.4,42.3
"Stott, Bryson",681082,2024,26,571,19,11,16.3,9.3,".306","87",81,32.2,30.6,43.1
"Bride, Jonah",681146,2024,28,272,10,11,20.2,11,".297","87.1",39,44,23.4,47.3
"Cowser, Colton",681297,2024,24,561,24,24,30.7,9.3,".326","90.5",164,34.8,25.8,43.3
"O'Hoppe, Logan",681351,2024,24,522,17,20,29.7,6.3,".331","90.4",194,42.3,22.4,38
"Norby, Connor",681393,2024,24,194,9,9,33,7.7,".316","86.2",64,47.8,21.7,32.2
"Baldwin, Brooks",681460,2024,23,121,6,2,25.6,5,".262","87.4",23,34.5,29.8,27.4
"Carpenter, Kerry",681481,2024,26,296,16,18,25.3,7.4,".379","90.5",102,41.7,25,37
"Outman, James",681546,2024,27,156,4,4,35.3,10.3,".282","87.6",59,43.2,27.2,33.3
"Pages, Andy",681624,2024,23,443,23,13,24.4,6.5,".321","88.6",109,41.8,24.7,32.8
"Fry, David",681807,2024,28,392,18,14,21.4,10.7,".326","88.3",99,47.1,22,34.1
"Schneemann, Daniel",682177,2024,27,221,10,5,31.7,11.3,".277","88.5",59,40.5,19,44.4
"Marte, Noelvi",682622,2024,22,242,9,4,31,3.7,".268","87",96,36.8,27.1,45.8
"Alvarez, Francisco",682626,2024,22,342,14,11,25.1,8.8,".289","88.8",96,33,29,50.9
"Matos, Luis",682641,2024,22,156,5,5,15.4,3.2,".267","86.9",32,47.2,15.7,38.6
"Martínez, Angel",682657,2024,22,169,7,3,19.5,8.9,".271","86.5",41,41.3,17.4,44.6
"De La Cruz, Elly",682829,2024,22,696,36,25,31.3,9.9,".328","91.8",212,43.4,22.6,47.1
"Ramos, Bryan",682868,2024,22,108,4,3,20.4,6.5,".282","90.1",27,44.9,19.2,43.6
"Abrams, CJ",682928,2024,23,602,29,20,21.3,6.6,".319","88.2",148,45.2,21.8,40.7
"Greene, Riley",682985,2024,23,584,27,24,26.7,11,".353","91.3",130,37.4,23.2,43.6
"Carroll, Corbin",682998,2024,23,684,22,22,19,10.7,".324","89.3",126,37.8,25.7,44.6
"Henderson, Gunnar",683002,2024,23,719,31,37,22.1,10.8,".374","92.8",148,36.6,23.4,47.4
"Volpe, Anthony",683011,2024,23,689,27,12,22.6,6.1,".278","87.7",147,30.2,28.6,50.6
"Stefanic, Michael",683021,2024,28,124,4,0,16.1,8.1,".254","85.1",14,26.4,25.3,60.4
"Baty, Brett",683146,2024,24,171,3,4,24.6,9.4,".282","86.6",51,42.9,18.8,54.5
"Vaughn, Andrew",683734,2024,26,619,30,19,21.3,6.1,".319","90.3",165,33.4,24.6,38.6
"Busch, Michael",683737,2024,26,567,28,21,28.6,11.1,".319","89.9",145,40.5,24.3,38.8
"Frelick, Sal",686217,2024,24,524,22,2,14.9,7.4,".278","83.4",62,29.5,27.5,48
"Pasquantino, Vinnie",686469,2024,26,554,30,19,12.8,7.2,".331","91",97,45.8,18.9,40.3
"Canzone, Dominic",686527,2024,26,188,7,8,28.2,9.6,".307","89.9",70,31.6,21.4,44.4
"Dunn, Oliver",686554,2024,26,104,2,1,38.5,5.8,".263","89.1",27,48.2,19.6,50
"Crews, Dylan",686611,2024,22,132,5,3,19.7,8.3,".325","89",31,35.1,23.4,56.4
"Doyle, Brenton",686668,2024,26,603,24,23,25.4,7.6,".329","89.2",190,36.9,26.7,40.4
"Lee, Korey",686676,2024,25,394,14,12,31,4.3,".256","88.3",140,35.7,26.3,49.4
"Massey, Michael",686681,2024,26,356,17,14,15.7,4.2,".309","89.2",86,51.8,19.1,39.7
"Pagés, Pedro",686780,2024,25,218,3,7,26.6,6,".279","89",67,34,24.5,42.9
"Lee, Brooks",686797,2024,23,185,6,3,14.6,5.9,".274","85.8",43,39.5,22.4,41.5
"Brennan, Will",686823,2024,26,353,13,8,13.6,5.4,".302","86",61,36.7,25.1,42.4
"Grissom, Vaughn",687093,2024,23,114,3,0,21.1,6.1,".287","86.1",28,34.1,28,46.3
"Hernaiz, Darell",687231,2024,22,135,3,1,20,8.1,".271","87.1",29,25,27.1,51
"Neto, Zach",687263,2024,23,602,34,23,23.3,6.5,".317","88.5",170,46.2,19.9,45.2
"Scott II, Victor",687363,2024,23,155,9,2,27.1,3.9,".246","88.4",43,42.9,21,46.7
"Ortiz, Joey",687401,2024,25,511,25,11,20.2,11,".305","87.8",86,38.2,31.2,49.4
"Horwitz, Spencer",687462,2024,26,381,19,12,18.4,11,".338","88.2",59,37.4,30.2,42
"McCray, Grant",687529,2024,23,130,3,5,43.1,4.6,".252","90.2",55,35.3,26.5,50
"Beck, Jordan",687597,2024,23,184,6,3,35.3,6.5,".263","86.1",58,34,25.5,46.2
