"last_name, first_name","player_id","year","whiff_percent"
"Strider, Spencer",675911,2022,34.9
"Rodriguez, Eduardo",593958,2023,23.8
"Wainwright, Adam",425794,2022,16.9
"Fedde, Erick",607200,2024,21.6
"Cortes Jr., Nestor",641482,2022,24.5
"Miller, Bobby",676272,2023,26.8
"Blanco, Ronel",669854,2024,29
"Rodón, Carlos",607074,2022,31.2
"Wheeler, Zack",554430,2022,25.1
"Kopech, Michael",656629,2023,26.9
"Pérez, Martín",527048,2022,21
"Pérez, Martín",527048,2024,21
"McKenzie, Triston",663474,2022,26.8
"Lynch IV, Daniel",663738,2022,25.4
"Snell, Blake",605483,2023,37.3
"Megill, Tylor",656731,2023,23.4
